time,envelope_standardized
9.77,-0.653581076627136
9.78,-0.723727218292029
9.79,-0.69379935572355
9.8,-0.691040635487142
9.81,-0.700642436509817
9.82,-0.693716499948955
9.83,-0.691464102200687
9.84,-0.687529204133245
9.85,-0.692896363683986
9.86,-0.719924361132662
9.87,-0.729445972218198
9.88,-0.735260629850223
9.89,-0.747981338235962
9.9,-0.745154622754129
9.91,-0.742488763854648
9.92,-0.755429560025828
9.93,-0.737698501017172
9.94,-0.74252087075736
9.95,-0.742375940639186
9.96,-0.755834803200916
9.97,-0.755655522671201
9.98,-0.730668909405588
9.99,-0.759513497336949
10,-0.756875704643388
10.01,-0.759055698073449
10.02,-0.772633799012055
10.03,-0.758785647929532
10.04,-0.763130122921604
10.05,-0.756370097354764
10.06,-0.736809197352093
10.07,-0.741197116398518
10.08,-0.730743834711586
10.09,-0.718008379679636
10.1,-0.711957481064173
10.11,-0.707264766160361
10.12,-0.715916006377041
10.13,-0.699440071166219
10.14,-0.733334876685899
10.15,-0.721440743673077
10.16,-0.704280014497908
10.17,-0.720649659621577
10.18,-0.711480685178754
10.19,-0.702614683847322
10.2,-0.731838944250996
10.21,-0.717881703365114
10.22,-0.717252846516529
10.23,-0.709827764749208
10.24,-0.715930457043338
10.25,-0.684961283488359
10.26,-0.711216254843577
10.27,-0.715157312995091
10.28,-0.729021060968461
10.29,-0.694201588641716
10.3,-0.691951904254728
10.31,-0.740886806156098
10.32,-0.728473891040613
10.33,-0.728970541355572
10.34,-0.723306230038056
10.35,-0.718470179081634
10.36,-0.732619091306276
10.37,-0.748222596477902
10.38,-0.748704349266129
10.39,-0.707982430950276
10.4,0.236331296587642
10.41,0.619450844738602
10.42,0.872320103724249
10.43,2.43064839897056
10.44,2.9620912009485
10.45,2.16978966803532
10.46,2.10110768993333
10.47,1.17259205792264
10.48,0.49772169712893
10.49,0.15630711675109
10.5,0.128627492379739
10.51,0.207810322371743
10.52,0.0218876399630474
10.53,-0.378431545629331
10.54,-0.318593178804802
10.55,-0.384625074178982
10.56,-0.608458776915073
10.57,-0.639894982606947
10.58,-0.594528650322355
10.59,-0.502480830586774
10.6,0.519257810451648
10.61,0.234601780955375
10.62,-0.0931212745468586
10.63,-0.151564688875458
10.64,-0.363957098706531
10.65,0.0827425007724106
10.66,0.752632681847429
10.67,1.64317981191967
10.68,3.88632587946151
10.69,3.34102693017341
10.7,2.98469491530313
10.71,2.72052890103949
10.72,1.52631026576537
10.73,0.714646676916816
10.74,0.60234509155685
10.75,1.26570136710099
10.76,0.370674241786142
10.77,0.130493793094247
10.78,-0.352884214683015
10.79,-0.352143015199425
10.8,-0.26769753480339
10.81,-0.487901411888236
10.82,-0.388983735671974
10.83,-0.0418585442734781
10.84,-0.221171717400147
10.85,-0.0281174898315219
10.86,0.879669842303193
